GRU 1,LSTM 1,LSTM 2,MLP 1,RNN 1,ARIMA,Naive,real,t
0.252489924,0.179312289,0.228233233,0.197950759,0.49410969,0.573015175,0.213271201,0.207941017,181
0.212185442,0.172231138,0.219595075,0.193714302,0.381792158,0.548432629,0.207941017,0.245603396,182
0.214773417,0.178414285,0.216199368,0.214616333,0.462670326,0.552188563,0.245603396,0.242954263,183
0.216115057,0.193737507,0.218133971,0.215239786,0.506820917,0.565237352,0.242954263,0.22883087,184
0.240073085,0.195144653,0.222576946,0.218407013,0.402673483,0.555445726,0.22883087,0.232660943,185
0.290077448,0.192442,0.239629999,0.171459797,0.358748287,0.543405291,0.232660943,0.221729278,186
0.191498399,0.175701559,0.204538092,0.202672967,0.606412828,0.529786151,0.221729278,0.236522933,187
0.211136818,0.175713718,0.244746178,0.229533561,0.197864085,0.530910307,0.236522933,0.197759408,188
0.237620771,0.190447152,0.205602556,0.246486885,0.577412546,0.556376231,0.197759408,0.209696467,189
0.257036507,0.214471042,0.214933917,0.212472406,0.312740922,0.538947571,0.209696467,0.195030481,190
0.228015423,0.207283199,0.205523103,0.212094176,0.389469951,0.558360504,0.195030481,0.21094124,191
0.235227227,0.209606588,0.205742627,0.224559553,0.335577607,0.592412049,0.21094124,0.203488558,192
0.246331275,0.215624452,0.206851065,0.219793415,0.381082416,0.593568654,0.203488558,0.202850212,193
0.251130819,0.217950821,0.202920809,0.223775497,0.361484736,0.606063138,0.202850212,0.246130031,194
0.255700171,0.229409575,0.229981825,0.217709467,0.321096122,0.615104248,0.246130031,0.230953369,195
0.238832235,0.22976321,0.216526598,0.233439703,0.483180881,0.628295229,0.230953369,0.255322205,196
0.274513781,0.238424063,0.241068155,0.239690663,0.280923873,0.627663181,0.255322205,0.23795921,197
0.275589943,0.244481385,0.236344889,0.245323549,0.48296839,0.630941721,0.23795921,0.218649261,198
0.302626252,0.24347353,0.234402776,0.232216296,0.291509569,0.604660387,0.218649261,0.204366283,199
0.287022412,0.235374331,0.223710626,0.230386637,0.376278549,0.614298235,0.204366283,0.217803453,200
0.277796984,0.237442672,0.224490821,0.228408421,0.309651613,0.627618142,0.217803453,0.23468769,201
0.276374757,0.244636714,0.226856247,0.238179675,0.380150706,0.675093756,0.23468769,0.222734672,202
0.300448895,0.248230278,0.226332992,0.233957519,0.345422626,0.682724012,0.222734672,0.244374581,203
0.300594836,0.250981092,0.238118187,0.228547946,0.343884528,0.680385256,0.244374581,0.242315917,204
0.268939495,0.248630524,0.23558712,0.235266988,0.415376067,0.690605229,0.242315917,0.236842105,205
0.29044947,0.246182859,0.238766611,0.243506325,0.31942907,0.702333725,0.236842105,0.242842552,206
0.296515167,0.254833937,0.240300372,0.25452665,0.421994984,0.704451583,0.242842552,0.245475727,207
