GRU 1,LSTM 1,LSTM 2,MLP 1,RNN 1,ARIMA,real,t
0.450125903,0.519084811,0.475558996,0.315436165,0.532216311,0.900266424,0.489850308,534
0.428296328,0.519301057,0.473146379,0.317530205,0.538152277,0.863359979,0.494941113,535
0.451030403,0.521919012,0.484387457,0.325455461,0.537084281,0.86833265,0.514873448,536
0.440387666,0.524612367,0.4858042,0.33242401,0.545522869,0.874090174,0.502601258,537
0.499236107,0.535532117,0.506248415,0.332795983,0.542479575,0.820968305,0.49064824,538
0.515089929,0.543160319,0.498078644,0.35395755,0.543385267,0.835006633,0.492020682,539
0.514387369,0.537829936,0.492655218,0.376148956,0.537775934,0.834415064,0.506574958,540
0.466321588,0.5361408,0.48653549,0.367348626,0.541226149,0.875862687,0.497031694,541
0.470646441,0.538646698,0.497718871,0.340005645,0.543525815,0.874392237,0.497685998,542
0.505509734,0.542676568,0.494052112,0.341900485,0.543035448,0.855093202,0.508362325,543
0.521592915,0.534967124,0.494343817,0.36565639,0.537385404,0.857460143,0.500446842,544
0.497675896,0.536406755,0.496985137,0.370873614,0.535433054,0.869142298,0.498627557,545
0.462351948,0.541315556,0.494665742,0.353594125,0.536982536,0.854279139,0.501005394,546
0.474271744,0.541821063,0.49561429,0.351587453,0.533813059,0.860928121,0.492148351,547
0.471665382,0.537653446,0.491094649,0.364632797,0.536278725,0.88533051,0.48467971,548
0.464161932,0.539141417,0.488116324,0.355595933,0.535067856,0.895670688,0.470285021,549
0.453712136,0.537917554,0.482692719,0.341583261,0.534586728,0.898840667,0.446347068,550
0.446438253,0.530096531,0.467508197,0.343898498,0.538121104,0.891954414,0.457214899,551
0.413802773,0.518045545,0.4510566,0.327196113,0.54387027,0.854062567,0.456225464,552
0.450806618,0.517641664,0.45837611,0.288731872,0.541000426,0.844486125,0.452539019,553
0.468399376,0.499582857,0.448947787,0.291117307,0.547445595,0.876475766,0.460342791,554
0.503391802,0.497610956,0.453542888,0.297692274,0.538089097,0.86447451,0.390412052,555
0.475748628,0.504305005,0.454856932,0.290742669,0.532378137,0.838955434,0.398790335,556
0.317470014,0.463120401,0.401801169,0.303929201,0.555402756,0.844752452,0.374836424,557
