Date,Close,Open,Max,Min,Volume
15-04-2021,8571.6,8603.1,8621.9,8564.7,146.07
14-04-2021,8588.4,8532.6,8595.7,8510.1,133.52
13-04-2021,8525.1,8533.2,8568.3,8467.3,152.57
12-04-2021,8532.6,8556.1,8556.9,8481,131.41
09-04-2021,8565.8,8639.3,8647.4,8565.8,133.46
08-04-2021,8637.8,8626.5,8637.8,8564.4,165.76
07-04-2021,8597.4,8648.3,8661.8,8592.2,137.39
06-04-2021,8634.6,8673.2,8691.9,8615.5,201.72
01-04-2021,8577.6,8595.6,8610.1,8542.7,150.98
31-03-2021,8580,8594.7,8652.2,8568,265.54
30-03-2021,8595.2,8542.9,8612.3,8532.4,171.86
29-03-2021,8492.1,8502.8,8540.4,8451.5,177.59
26-03-2021,8498.2,8480.5,8528.8,8437.8,233.9
25-03-2021,8409.5,8420.3,8439.2,8299.7,161.36
24-03-2021,8443.7,8351.3,8443.7,8288.8,187.92
23-03-2021,8390.3,8316.7,8425.9,8274.2,203.4
22-03-2021,8343.5,8430.2,8432.6,8324.8,229.08
19-03-2021,8493,8560.1,8591.2,8465.9,375.05
18-03-2021,8624.6,8632.6,8658.8,8587.1,237.34
17-03-2021,8599.5,8652.1,8659.1,8570.1,173.24
16-03-2021,8657.7,8679.4,8717.6,8617.8,209.94
15-03-2021,8635.4,8689.9,8740.1,8617.6,210.89
12-03-2021,8644.5,8570,8644.5,8554.4,149.11
11-03-2021,8593,8567.6,8609.5,8495.8,189.02
10-03-2021,8525.2,8479.5,8561.1,8462.3,203.75
09-03-2021,8496.4,8446.3,8516.2,8416,281.9
08-03-2021,8444.2,8358,8458.4,8307.5,235.09
05-03-2021,8286.8,8322.1,8387.1,8239.7,259.82
04-03-2021,8354,8285.1,8382.2,8273.9,207.04
03-03-2021,8329.3,8397.6,8466.6,8278.5,240.92
02-03-2021,8355.8,8360.9,8436.5,8328.6,177.71
01-03-2021,8378.1,8324.6,8395.9,8291.3,182.1
26-02-2021,8225,8218.6,8377.1,8166.3,291.87
25-02-2021,8317.8,8331.2,8387,8310.7,309.76
24-02-2021,8269.6,8266.6,8311.5,8205.2,225.85
23-02-2021,8252.1,8128,8259.9,8107.6,293.16
22-02-2021,8112.2,8119.6,8126.3,8045.3,221.47
19-02-2021,8151.6,8066.7,8172.6,8016.1,209.01
